1,The Olympic Raffle,1/8,2/9,5/8,3/8,3/16,d,DSP,"A raffle will be held for the door prize at a charity fundraiser.  200 gold sponsors, 300 silver sponsors, and 400 bronze sponsors have entered the raffle.  The name of each gold sponsor was entered 3 times, the name of each silver sponsor was entered 2 times, and the name of each bronze sponsor was entered 1 time.   What is the probability that the name of a gold sponsor will be chosen?"
2,Patriotic Marbles,4/5,7/10,1/2 ,3/10,1/5,d,DSP,"There is a bag of marbles containing 8 red marbles, 12 blue marbles, and 20 white marbles.  If a marble is chosen at random, what is the probability that the selected marble will be blue?"
3,Precise Pizza Eaters,18%,20%,22%,25%,78%,c,NO,"Abe, Billy, and Cathy order a whole pizza.  Abe eats 1/3 of the pizza, Billy eats 1/4 of the pizza, and Cathy eats 1/5 of the pizza.  Approximately, what percentage of the pizza remains?"
6,Employee Clock Discount,$4.80 ,$18.00 ,$43.20 ,$20.00 ,$28.80 ,d,AF,A store sells clocks for $30 each.  The price each clock sells for is 20% higher than the amount the store pays to buy each clock.  Employees can buy clocks at 20% off the storeÃ¢â?¬â?¢s cost.  How much do employees pay for each clock?
11,Fractional Pie Eating,[math]\\displaystyle \\frac {100}{k}[/math],[math]\\displaystyle \\frac{-1}{k}[/math],[math]\\displaystyle \\frac{k-2}{k}[/math],[math]100*\\displaystyle \\frac{k-2}{k}[/math],[math]\\displaystyle \\frac{98}{k}[/math],d,AF,"Judy buys a pie, cuts it into <i>k</i> equal slices, and eats 2 slices.  She makes at least one cut.  In terms of <i>k</i>, what percentage of the pie is left?"
12,Filling the Rain Tank,50%,53%,45%,58%,55%,e,NO,"A half-full tank contains 80 gallons of water.  During a rainstorm, the tank gains 8 gallons of water.  What percentage of the tank is now full of water?"
14,Protein-Based Rat Weight,400,480,560,680,784,c,AF,"The projected weight of a full grown rat, in grams, is given by the function,

[math]w(p) = 400\\times   \\displaystyle \\frac{25+p-a}{25}[/math],

where [math]w[/math] is the weight of the rat, [math]p[/math] is the grams of protein in the ratÃ¢â?¬â?¢s daily diet, and [math]a[/math] is a constant.  If, according to the equation, a rat weighs 480g when fed 12g of daily protein, how much will a rat weigh if fed 17g of daily protein?
"
15,Exponents Gone Bonkers,4,[math]\\displaystyle \\frac{1}{2}[/math],0,3,2,e,AF,"[display]\\text{If }x > 1 \\text{ and }\\sqrt{x^{n+1}} =   \\displaystyle \\frac{x^3}{x^{1.5}} \\text{, what is the value of }n\\text{?}[/display]"
16,"IÃ¢â?¬â?¢m divisible, are you?",[math]m-7[/math],[math]m-42[/math],[math]m+3[/math],[math]m+14[/math],[math]m+98[/math],b,AF,"If [math]m > 100[/math] and [math]m[/math] is divisible by 3, 7, and 14, which of the following is also divisible by those numbers."
17,Easy Ratio Conversion,1 to 4,7 to 5,14 to 1,5 to 7,5 to 70,b,NO,The ratio 1.4 to 1 is equal to which of the following ratios?
18,Smooth and Sharp Rocks,7,14,17,42,84,b,DSP,"The rocks in a certain bag are either smooth or sharp.  If the ratio of smooth to sharp rocks is 3/4, any of the following could be the number of rocks in the bag EXCEPT,"
20,Three equations in one,80,60,40,20,10,d,AF,If [math]4x^3 = 5y = 20[/math] what is the value of [math]x^3y[/math]?
21,Painting Houses,"$2,000 ","$3,000 ","$4,000 ","$5,000 ","$6,000 ",e,AF,"A group of students painted houses to raise money.  The net amount, [math]P[/math], in dollars, raised by painting [math]h[/math] houses is given by the function [math]P(h) = 400h - 2000[/math].  If the group painted 20 houses, what is the net amount they raised?"
156,2000903, <i>m</i> + 80 , <r>3<i>m</i></r> , [math]\\displaystyle \\frac{\\displaystyle m}{\\displaystyle 3}[/math] , 3<i>m</i> , [math]\\displaystyle \\frac{\\displaystyle m}{\\displaystyle 3}[/math][math]^2[/math] ,d,AF,"A rectangular plot of land is 120 feet long and 40 feet wide, and on a map the shorter side this plot of land  is <i>m</i>  inches long.  In terms of <i>m</i>, what is the longer side, in inches, of the map?

	"
243,2000291,0,1,2,3,4,d,AF,"<img src=\{{QUESTIONS_MEDIA_URL}}mccorkle/00008/Frame0.png\""><br />The graph of <i>y</i> = <i>g</i>(<i>x</i>) is shown.  If -5 ? <i>x</i> ? 4  for how many values of <i>x</i> does <i>g</i>(<i>x</i>) = -1?"
281,2000336,5,6,9,12,15,c,NO,Each of the following is a factor of 60 except 
289,2000344,5,2,0,-2,-5,a,AF,"If (<i>a</i> -5)(2 + <i>b</i>) = 0 and <i>b</i> is positive, what is the value of <i>a</i>? "
291,2000346,58,57,55,54,53,b,AF,"The statistician for a basketball team calculated the average number of points per game the team scored in the first 10 games to be 56.  However, in reviewing his calculations he discovered that he had accidentally entered a 51 as a 57 and a 71 as 55.  What is the correct average points per game for the team in the first 10 games? "
295,2000350,  I only  ,  II only  ,  I and II  ,  II and III  ,"  I, II and III  ",e,GM,<i>A</i> and <i>B</i> are the endpoints of a diameter of a circle.  If <i>X</i> is located so that line segment <i>[math]\\overline{AX}[/math]</i> is the same length as line segment <i>[math]\\overline{BX}[/math]</i> then which of the following could be true?<br /><br />I. <i>X</i> is the center of the circle.<br />II. <i>X</i> is on the circle.<br />III. <i>X</i> is outside of the circle.<br />
296,2000351,1.5,3.5,4,5,6.5,d,DSP,"<img src=\{{QUESTIONS_MEDIA_URL}}mccorkle/00021/Frame0.png\""><br />The graphs of the functions <i>g</i> and <i>h</i> are lines as shown. What is the value of <i>g</i>(2) + <i>h</i>(2)? """
320,2000378,3,5,8,16,21,e,GM,"<i>B</i> is the midpoint of line segment <i>[math]\\overline{AE}[/math]</i>, and <i>D</i> is the midpoint of line segment <i>[math]\\overline{BE}[/math]</i>.  If <i>C</i> is a point between <i>B</i> and <i>D</i> such that the length of segment <i>[math]\\overline{CE}[/math]</i> is 11 and the length of segment <i>[math]\\overline{CD}[/math]</i> is 3, what is the length of segment <i>[math]\\overline{AC}[/math]</i>? "
321,2000379,  [math]\\displaystyle \\frac {\\displaystyle 1275 - a}{\\displaystyle b}[/math]  ,  [math]\\displaystyle \\frac{\\displaystyle 1275 + a - b}{\\displaystyle b}[/math]  ,  [math]\\displaystyle \\frac{\\displaystyle 1275 - a + b}{\\displaystyle b}[/math]  ,  [math]\\displaystyle \\frac{\\displaystyle 1275 - a - b}{\\displaystyle b}[/math]  ,  [math]\\displaystyle \\frac{\\displaystyle 1275 - a}{\\displaystyle a + b}[/math]  ,c,AF,"A candy bar costs <i>a</i> cents for the first one and <i>b</i> cents for every one after the first one.  If you paid $12.75 for some candy bars, which of the following represents the number of candy bars you bought? "
323,2000381, <i>r</i> = <i>v</i> , <i>s</i> = <i>t</i> , <i>r</i> = <i>u</i> , <i>t</i> = <i>u</i> , <i>t</i> = <i>v</i> ,a,GM,"<img src=\{{QUESTIONS_MEDIA_URL}}mccorkle/00022/Frame0.png\""><br />In ?<i>ABC</i>  <i>AB</i> = <i>BC</i>.  Which of the following must be true? """
325,2000383, 4(4.50) - 85 ? <i>n</i> , 85 - 4(4.50) ? <i>n</i> , 85 - 4(4.50) ? <i>n</i> , 85 + 4(4.50) ? <i>n</i> , 85 - 4.50 ? <i>n</i> ,c,NO,"Sue can spend no more than $85 on groceries.  The first items she chooses are 4 boxes of cereal which cost $4.50 each.  If <i>n</i> represents how much she has left for the rest of her groceries, which of the following inequalities could be used to find the possible values for <i>n</i>? "
326,2000384,  , <fig>00036.swf</fig> , <fig>00037.swf</fig> , <fig>00038.swf</fig> , <fig>00039.swf</fig> ,c,DSP,"<img src=\{{QUESTIONS_MEDIA_URL}}mccorkle/00035/Frame0.png\""><br />If <i>y</i> is always 5 more than <i>x</i>  which of the following could be the graph that shows the relationship between <i>x</i> and <i>y</i>? """
328,2000386,  , <fig>00041.swf</fig> , <fig>00042.swf</fig> , <fig>00043.swf</fig> , <fig>00044.swf</fig> ,a,DSP,"<img src=\{{QUESTIONS_MEDIA_URL}}mccorkle/00040/Frame0.png\""><br />James recently opened a savings account.  At the end of each month he deposits 10% of the original deposit amount until the savings account has 40% more than it had at the beginning.  Which of the following graphs could correctly represent the amount in the account over a 7 week period? """
329,2000387, [math]\\displaystyle \\frac {\\displaystyle 2}{\\displaystyle 3}[/math] , [math]\\displaystyle \\frac{\\displaystyle 10}{\\displaystyle 21}[/math] , [math]\\displaystyle \\frac{\\displaystyle 2}{\\displaystyle 5}[/math] , [math]\\displaystyle \\frac{\\displaystyle 1}{\\displaystyle 7}[/math] , [math]\\displaystyle \\frac{\\displaystyle 2}{\\displaystyle 7}[/math] ,e,AF,"If [math]  \\displaystyle \\frac{\\displaystyle xy}{\\displaystyle ab}[/math] = [math]  \\displaystyle \\frac{\\displaystyle 3}{\\displaystyle 5}[/math], then [math]  \\displaystyle \\frac{\\displaystyle 10xy}{\\displaystyle 21ab}[/math] =                          



	"
331,2000389, Three , Four , Five , Six , Nine ,a,NO,"1, 2, 3 <br/>

<br/>

If <i>a</i>, <i>b</i>, and <i>c</i> are assigned different values from the list above, how many different values for (<i>a</i> - <i>b</i>)[math]^c[/math] are possible? "
